Ticker,Market_Cap,Real_Traders,Total_Holders,Volume,Insider_Percentage,Dev_Status,Top_10_Holding,Sniper_Count,Timestamp,Address
BANANACAT,$78K,142,142,$30K,73%,55%,55%,4,17h,Etjdgr4pzUKC1mjGDZfFjgJG76q3H2Hhp2qLpikDmoon
TrumpPump,$70K,168,168,$17K,67%,41%,41%,3,20h,8FndaZKMt2tu1isnGXjmSFRTbmqmXZzgyELRC1JSmoon
CL,$69K,53,53,$16K,61%,66%,66%,2,1 d,5VXURyi9AtphvhTh51rXRnmDSNq1gjtUd4Aq3U6hmoon
AI,$66K,75,254,$9K,78%,14%,14%,5,7h,7CbiUa5xXvrgbz5e5GimkPFbAP4Sa23ASw9ikwv3pump
ROSSCOIN,$65K,39,294,$17K,7%,23%,23%,6,7h,8wZLLApautdsvWZX8zmBcmyAPfmKW2krrHLf1jKApump
TETRX,$64K,59,80,$16K,59%,53%,53%,4,11h,Gy5owmTsmwzsRvbhd1YWZ3BCkor8BiiAdGKE24uApump
Niggatrump,$63K,22,103,$10K,,39%,39%,13,7h,6KAcJTPgZXfvwk4SEhoBFG4ToovPRP9MrkBK2srqpump
AINEB,$62K,46,77,$13K,65%,29%,29%,8,7h,E1rWMJ7zLsbfg419Xya9rjRkBZTSPGRyY5mURpGKpump
CATSTORN,$58K,77,312,$13K,57%,11%,11%,34,7h,8PdLBocQDtAtpvgtrxaa7vYCKSnYhMWWrhAm48apump
STEAM,$61K,186,186,$44K,72%,48%,48%,3,1 d,AGBPtTpTa4cK7K53Fu3veSAvTudViypj77GcCEXsmoon
DAIT,$62K,231,231,$23K,67%,34%,34%,1,15h,Df7ScVDCqBvXzr79jo2V6PBKy7KM3qT3gNhMAMF7moon
GGC,$62K,225,225,$14K,73%,9%,9%,1,1 d,GFtK5ckyHA6kMgKkftEQcPHE4Hfq1oQjuKULSG8Jmoon
PG,$55K,88,140,$26K,9%,14%,14%,5,23h,3wPHW9KBfTAKXRKETUJpaitdNYA3XYtKDusC5KkFpump
Jelly AI,$57K,51,241,$13K,73%,13%,13%,12,7h,EfdsNcHLTEyUFhHhf1MXn8Dg4DoBhAL2E7PdgWNUpump
Boltrade,$54K,47,13,$12K,,73%,73%,1,7h,579wUjNVh2vSDdbSyBhqPKRBs6ApqhH4AZTpZZcZpump
EGC,$54K,1057,320,$13K,71%,10%,10%,3,10h,6pc2ao7vdvYeqM9NEFCpeW6kTbKrctjudSsUBKE6pump
BAIL,$51K,48,73,$8K,,37%,37%,4,10h,8C61titgfNN5pT6iKGCayMfJivr5Cqihfkjv9YMhpump
ChillCat,$52K,228,228,$14K,70%,9%,9%,8,1 d,EZRRfW7q3mou2pYUaQkrAFjLbSbWKwMDmpEveWsXpump
papipepe,$51K,131,226,$19K,51%,7%,7%,2,1 d,EpvVtrD3DneLNn9Bk9EbYGpyrkUi3nvpETnPXnbTpump
