ticker,author,text,replies,reposts,likes,views
BRAIN,Science,Neuronal firing in the brain. Feels like the universe,283.0,2.9,10000.0,441000.0
BRAIN,𝓓𝖗. 𝓥𝖔𝕏 𝓞𝖈𝖚𝖑𝖎 ᴹᴰ ‍,"Back when people had brains…

Bill Nye: “There Are Two Genders”

Share to remind people who have forgotten basic biology",8.0,21.0,87.0,13000.0
BRAIN,Punch Cat,they’re taking his brain cells :(,369.0,10000.0,104000.0,2.8
BRAIN,I Meme Therefore I Am,"Painful to watch!

Pudding Brain invited a guest on stage to sing ‘Happy Birthday’ to him but ended up not knowing how to pronounce his name.",25.0,15.0,69.0,3.7
BRAIN,"Sassington, M.C.","my brain will never be able to process how this translates into sound, no matter how many times I read how it's done. it's fascinating as hell.",465.0,6.6,63000.0,7.5
BRAIN,Ivor Cummins,"Important repost: 
 ""Listen carefully, very carefully. This is the most important climate change clip you will ever watch - and only 4mins long.
Watch and judge yourself.
ABSORB the graph shown. THINK on it. USE your brain.""",529.0,10000.0,17000.0,1000000.0
BRAIN,Stephen Ford,Halo in Unreal Engine is exactly how my brain remembers the original game looking the first time I played it as a kid.,656.0,4.2,51000.0,3.7
BRAIN,Paul A. Szypula,"NBC obliterates Chuck Schumer to his face for defending Joe Biden when he had clear severe cognitive decline.

Anyone who defended Biden and lied about his brain rot should never be believed again.",123.0,455.0,1.4,18000.0
BRAIN,Ryan McCoy,"Where do they get all that gold?…. Asteroid mining!

The gold rush renaissance is when certain moguls become trillionaires and build their own civilization on the moons of Jupiter.",20.0,61.0,311.0,8.1
BRAIN,NO CONTEXT HUMANS,bro used 100% of his brain,321.0,895.0,24000.0,7.8
BRAIN,Warren Redlich - Chasing Dreams,"- Neuralink is curing paralysis, blindness and brain diseases
- Starlink opens the internet to poor rural communities globally
- Tesla cleans the air and reduces traffic deaths

Lisa wants a library?

- Also X restored free speech so she can whine about Elon",158.0,331.0,3000.0,79000.0
BRAIN,Nature is Amazing,Not a single brain cell between them.,281.0,1.5,11000.0,733000.0
BRAIN,Camus,"Shocking...
Robert F. Kennedy Jr.: ""Let me just give you one quick other example. The most popular vaccine in the world is the DTP vaccine, diphtheria, tetanus, and pertussis. We banned, we got rid of it in this country because it was causing injuries, brain injuries, severe",2.2,32000.0,99000.0,11000000.0
BRAIN,Joe Rambo,"This is mind blowing..... 

D. O. G. E.  Coin. 

Dept. Of. Government. Efficiency. 

The DOGE coin mascot is a dog. 

Dog comms?  The death of the FED? 

Is this all a coincidence ",276.0,1.5,6.8,515000.0
BRAIN,Jews Fight Back,"Excavations in Jerusalem uncover a mikveh from the Second Temple period, proving (again) what everyone with a brain already knows: Jews are the indigenous people of Israel.",31.0,502.0,1.4,17000.0
BRAIN,The Goddess,"No brain, no pain.",1.1,5.3,38000.0,9.2
BRAIN,Tech N Tortillas,"Fernando Carmona is trying to end careers, but the collective 5 brains cells that is the Arkansas fan base don’t think he’s dirty",288.0,1.7,11000.0,925000.0
BRAIN,Reform Pharma,"Tragic: Baby Dies After Two-Month-Old Vaccines

Vaccines are NOT safe.

“All the aluminum had gotten to his brain, ceased his respirations, and caused cardiac arrest.” -Melissa Pike",313.0,4.4,6.5,178000.0
BRAIN,✩,he’s literally going to hell for the damage this video has done to my brain,661.0,18000.0,147000.0,4.5
BRAIN,Clint Russell,"Rogan just crushed Fetterman here

Pretty remarkable that Kamala ducked Joe but a guy suffering from actual brain damage was willing to show up.",1.1,9.1,70000.0,4.4
BRAIN,NO CONTEXT HUMANS,"He’s just using his brain, not muscles ",428.0,3000.0,65000.0,9.6
BRAIN,non aesthetic things,A father saved his sons life and went to jail after he held doctors at gunpoint forcing them to continue operating on his son after he was declared brain dead,1.1,4.3,56000.0,5.2
BRAIN,Joshua Haymes,"Porn is not speech.

No one has a God-given right to consume or produce this brain poisoning, family wrecking, civilization destroying filth.

And by the grace of God we will ban it in all 50 states.",646.0,1000.0,9000.0,784000.0
BRAIN,𝔼𝕥𝕙𝕖𝕣-𝕎𝕒𝕧𝕖,Nick Fuentes broke Utsav Sanduja's brain.,162.0,270.0,3.4,102000.0
BRAIN,The Disrespected Trucker,The woman in pink shows you what brain rot sounds like.,135.0,1.9,6.8,144000.0
BRAIN,Shadygrooove,"Stop taking Ozempic for weight loss. 

You look like Skeletor and it’s destroying your brain and heart tissue.",18.0,42.0,223.0,63000.0
BRAIN,Camus,"Robert F. Kennedy Jr.: ""My concern about 5G is that the RF radiation from 5G is dangerous. It penetrates, it disrupts the blood-brain barrier. It also is associated with glioblastomas and other cancers. And it caused a lot of other dramatic health effects. And there are literally",562.0,7.4,20000.0,2.8
BRAIN,Joe Rambo,"More CONFIRMATION! 

Pompeo is absolutely admitting that we just lived through a ""live exercise""  

We know Joe was inaugurated early. 

Trump told us he left office in April of 2020.

We know the military told us a ""smooth transition to military power""

Trump told us he was",355.0,1.9,6.8,2.3
BRAIN,John Francis,"Cognitive Doctor discusses Trump’s Brain Damage 

It's not a joke, it's not sarcasm. 

""This is a neurological smoking gun.""

 #TrumpIsUnfitForOffice, he has Dementia and it’s getting worse by the day. 

https://x.com/a_k_a_stardust/status/1764106083298169037/video/1…",266.0,3000.0,6.1,257000.0
BRAIN,TENIOLA,Brain Jotter can’t be real ,374.0,1.8,7.8,243000.0
