ticker,text,username,timestamp,likes,retweets,replies,views
BEAN,506,"Hex Conference
@hexconference
·
15h",2025-01-12T14:13:12.000Z,14,4,0,506
BEAN,39,"Blake N. Behrens
@BNBehrens
·
3h",2025-01-13T01:52:56.000Z,3,0,0,39
BEAN,144,"Gempak Starz Novels
@KGSNovels
·
3h",2025-01-13T02:18:34.000Z,4,2,0,144
BEAN,1K,"James Bean
@PrgaviM
·
10h",2025-01-12T18:54:25.000Z,54,18,7,1000
BEAN,144,"Gempak Starz Novels
@KGSNovels
·
3h",2025-01-13T02:18:34.000Z,4,2,0,144
BEAN,1K,"James Bean
@PrgaviM
·
10h",2025-01-12T18:54:25.000Z,54,18,7,1000
BEAN,144,"Gempak Starz Novels
@KGSNovels
·
3h",2025-01-13T02:18:34.000Z,4,2,0,144
BEAN,1K,"James Bean
@PrgaviM
·
10h",2025-01-12T18:54:25.000Z,54,18,7,1000
BEAN,144,"Gempak Starz Novels
@KGSNovels
·
3h",2025-01-13T02:18:34.000Z,4,2,0,144
BEAN,1K,"James Bean
@PrgaviM
·
10h",2025-01-12T18:54:25.000Z,54,18,7,1000
BEAN,144,"Gempak Starz Novels
@KGSNovels
·
3h",2025-01-13T02:18:34.000Z,4,2,0,144
BEAN,1K,"James Bean
@PrgaviM
·
10h",2025-01-12T18:54:25.000Z,54,18,7,1000
SCHIZO,192,"dumpster (schizo arc)
@imaDUMPSTERfr
·
12h",2025-01-12T16:51:21.000Z,12,3,2,192
SCHIZO,8.4K,"Faded
@youfadedwealth
·
Admin
·
9h",2025-01-12T20:20:50.000Z,99,19,0,8400
SCHIZO,93,"RealityCzarsPodcast
@RealityCzarsPod
·
Jan 11",2025-01-12T00:22:49.000Z,5,3,0,93
SCHIZO,104,"Dollar
@DollarOnSolana
·
2h",2025-01-13T03:00:01.000Z,7,2,4,104
SCHIZO,18,"SeiaSchizo
@SeiaSchizo
·
37m",2025-01-13T04:52:18.000Z,3,0,0,18
SCHIZO,93,"RealityCzarsPodcast
@RealityCzarsPod
·
Jan 11",2025-01-12T00:22:49.000Z,5,3,0,93
SCHIZO,104,"Dollar
@DollarOnSolana
·
2h",2025-01-13T03:00:01.000Z,7,2,4,104
SCHIZO,18,"SeiaSchizo
@SeiaSchizo
·
37m",2025-01-13T04:52:18.000Z,3,0,0,18
SCHIZO,93,"RealityCzarsPodcast
@RealityCzarsPod
·
Jan 11",2025-01-12T00:22:49.000Z,5,3,0,93
SCHIZO,104,"Dollar
@DollarOnSolana
·
2h",2025-01-13T03:00:01.000Z,7,2,4,104
SCHIZO,18,"SeiaSchizo
@SeiaSchizo
·
37m",2025-01-13T04:52:18.000Z,3,0,0,18
SCHIZO,93,"RealityCzarsPodcast
@RealityCzarsPod
·
Jan 11",2025-01-12T00:22:49.000Z,5,3,0,93
SCHIZO,104,"Dollar
@DollarOnSolana
·
2h",2025-01-13T03:00:01.000Z,7,2,4,104
SCHIZO,18,"SeiaSchizo
@SeiaSchizo
·
37m",2025-01-13T04:52:18.000Z,3,0,0,18
SCHIZO,93,"RealityCzarsPodcast
@RealityCzarsPod
·
Jan 11",2025-01-12T00:22:49.000Z,5,3,0,93
SCHIZO,104,"Dollar
@DollarOnSolana
·
2h",2025-01-13T03:00:01.000Z,7,2,4,104
SCHIZO,18,"SeiaSchizo
@SeiaSchizo
·
37m",2025-01-13T04:52:18.000Z,3,0,0,18
Kitty,13K,"Kitty
@MrsRedskins
·
4h",2025-01-13T00:51:38.000Z,164,23,12,13000
Kitty,241K,"xgerman_kitty_catx | comms OPEN
@kittycat_german
·
Jan 11",2025-01-12T00:10:26.000Z,39000,5200,27,241000
Kitty,1.1K,"MAGA Kitty
@SaveUSAKitty
·
8h",2025-01-12T21:25:52.000Z,63,13,9,1100
Kitty,171,"𝙂𝙂
@85mmKitty
·
16h",2025-01-12T13:09:47.000Z,31,2,2,171
Kitty,442,"YOUNGBLOOD
@youngbloodtwon
·
17h",2025-01-12T11:33:59.000Z,41,1,27,442
Kitty,92K,"Netflix UK & Ireland
@NetflixUK
·
18h",2025-01-12T11:00:01.000Z,3500,362,15,92000
Kitty,1.1K,"MAGA Kitty
@SaveUSAKitty
·
8h",2025-01-12T21:25:52.000Z,63,13,9,1100
Kitty,171,"𝙂𝙂
@85mmKitty
·
16h",2025-01-12T13:09:47.000Z,31,2,2,171
Kitty,442,"YOUNGBLOOD
@youngbloodtwon
·
17h",2025-01-12T11:33:59.000Z,41,1,27,442
Kitty,92K,"Netflix UK & Ireland
@NetflixUK
·
18h",2025-01-12T11:00:01.000Z,3500,362,15,92000
Kitty,1.1K,"MAGA Kitty
@SaveUSAKitty
·
8h",2025-01-12T21:25:52.000Z,63,13,9,1100
Kitty,171,"𝙂𝙂
@85mmKitty
·
16h",2025-01-12T13:09:47.000Z,31,2,2,171
Kitty,442,"YOUNGBLOOD
@youngbloodtwon
·
17h",2025-01-12T11:33:59.000Z,41,1,27,442
Kitty,92K,"Netflix UK & Ireland
@NetflixUK
·
18h",2025-01-12T11:00:01.000Z,3500,362,15,92000
Kitty,1.1K,"MAGA Kitty
@SaveUSAKitty
·
8h",2025-01-12T21:25:52.000Z,63,13,9,1100
Kitty,171,"𝙂𝙂
@85mmKitty
·
16h",2025-01-12T13:09:47.000Z,31,2,2,171
Kitty,442,"YOUNGBLOOD
@youngbloodtwon
·
17h",2025-01-12T11:33:59.000Z,41,1,27,442
Kitty,92K,"Netflix UK & Ireland
@NetflixUK
·
18h",2025-01-12T11:00:01.000Z,3500,362,15,92000
Kitty,1.1K,"MAGA Kitty
@SaveUSAKitty
·
8h",2025-01-12T21:25:52.000Z,63,13,9,1100
Kitty,171,"𝙂𝙂
@85mmKitty
·
16h",2025-01-12T13:09:47.000Z,31,2,2,171
Kitty,442,"YOUNGBLOOD
@youngbloodtwon
·
17h",2025-01-12T11:33:59.000Z,41,1,27,442
Kitty,92K,"Netflix UK & Ireland
@NetflixUK
·
18h",2025-01-12T11:00:01.000Z,3500,362,15,92000
ELONCHO,,"Crypto Luka
@cryptoryderz
·
3s",2025-01-13T05:29:52.000Z,0,0,0,0
ELONCHO,23,"Avax Jet Fuel
@Avax_JetFuel
·
10m",2025-01-13T05:19:43.000Z,1,0,0,23
