ticker,username,post_text
SCHIZO,✠ Liquid ✠,"""me and who"" posters vindicated once again today"
SCHIZO,adam,the ticker is $SCHIZO
SCHIZO,dumpster (schizo arc),"I like 
@HarryPepeSol"
SCHIZO,「優しい」悪魔,"FORTNITE HATSUNE MIKU GIVEAWAY! (5.6K V-Bucks) 

To Enter: 
Follow 
@_SchizoPosting
Like & RT this post

The winners will be selected in TWO DAYS when the update releases!! Good luck!"
Kitty,xgerman_kitty_catx | comms OPEN,i think... this is flirting. #jayvik #arcane
Kitty,kimi 𐚁 ྀིྀིྀིྀིྀི,minecraft kitty house
Kitty,TrumpsKitten,I'll care about the rich people of California when more people care about the poor people of North Carolina.
Kitty,grace,kitty’s reaction to minho saying he’s in love with her makes no sense if she didn’t have feelings for him?? like why did she start smiling
Kitty,,SLOW BURN KITTY X MINHO SAVE ME
BEAN,chefderek.eth,Every $UFD bean counter soon:
BEAN,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette"
BEAN,tastytrade,Investopedia says we're the best. See why they rate us 4.5 stars out of 5.
BEAN,tommy,the cutest bean
ELONCHO,Wild Gem,#ELONCHO
ELONCHO,lesol,"$ELONCHO  CA - 

BeVm5k1BVAujmjwrpwihuHGc2yzXAJ1SaUf4p3rHpump  

50k"
ELONCHO,Avax Jet Fuel,$ELONCHO
ELONCHO,24k.S◎L,"$ELONCHO

BUY MORE"
ELONCHO,Gabriel pantaleon,$ELONCHO BeVm5k1BVAujmjwrpwihuHGc2yzXAJ1SaUf4p3rHpump
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?
Hana,うなよん,"NoNoGirls - DROP B team 

 #花 #HANA #ノノガ #NoNoGirls  #CHIKA #NAOKO #KOKONA #FUMINO  #MOMOKA #DROP #ノノガファイナル"
Hana,hana,“Alya bu kadar takmıyor sana noluyor mine.” İÇERLENMİŞ GEBERCEMWJWHAHAHAHAJAHAH #cihal #uzakşehir
COPPER,JuggernautExploration,"A newly discovered shear zone located north of the Double Down Hinge Zone extends for more than 100 m and is over 2 meters wide and contains chalcopyrite, bornite, native copper and molybdenite mineralization and remains open, providing additional strong drill targets for 2025."
COPPER,rosie rowell art,What do you think of my latest sunset painting ‘Copper Tide’?
COPPER,T-Pop TJai (ทีป๊อป ทีใจ),"COPPER BUS & FOURTH ถ่ายทอดตัวตนเปิดเผยเสน่ห์ผ่าน 2 สไตล์ ในคอลเลคชั่นแว่นสุดแกรม #GentleMonsterJewelry เป็นอีกลุคที่แฟนๆ ต้องให้คะแนนเต็ม 100 แน่นอน 

#tpoptjai #ทีป๊อปทีใจ #COPPERdechawat #Fourthnattawat 

COPPER BUS & FOURTH showcase their charm and individuality through two"
Moondong,Cyborg Monkey,"The MoonDong Cum-unity is strong! Here we go Musroom Stamping the blockchain!

#Solana #bullish #Crypto #memecoin #memecoin100x #moon"
Moondong,My Meme Trades,"$moondong

If you missed out on the hippo... there's a moon dong....

DthcPtviaaVasr6GTjRLoRcJSysSqGsZR61LArghpump"
Moondong,James Endl,"Get yourself a bag of $MOONDONG.

Original Meme
2% Dev Token Locked
1% Burned
Dev and Artist just finished a 24 hour X Marathon live streaming content creation.

https://dexscreener.com/solana/7haLSfPseVBTPHTNSk5kqUvqFuutpiqEoDLyBAJ5p6RT…"
Moondong,MoonKing.Gainz,Hope you scooped the lows on $Moondong #moondong .
CALEB,ERI ‧₊˚,i live for zayne caleb beef
CALEB,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me"
CALEB,留白omakase,"Push Ups.
#恋与深空 #夏以昼 #LoveandDeepspace #Caleb"
CALEB,Hira ෆ,#XAVIER & #CALEB : obsessed with her.
AUTOMATE,Jaynit Makwana,"I don't understand why people still don't use GPTs inside ChatGPT.

Use these 6 GPTs to automate your tedious tasks & become more productive:"
AUTOMATE,Tangerine,"Paying yourself first can make saving a cinch. Start small, automate it, and watch it grow. #SipsAndTips"
AUTOMATE,Indie Maker Hu,"use AI SDK + Gemini to automate directories.

The Mkdirs script now gathers basic webpage info like title, description, and logo via links. It auto-assigns categories, uploads images, and updates the database, streamlining your workflow."
AUTOMATE,DANNY,"$swarms
@swarms_corp
 – a multi-agent orchestration framework enabling AI collaboration to automate complex tasks with customizable workflows, memory, and dynamic optimization.

• Sector: AI
• Market Cap: $244.6M

• CA (Solana): 74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump"
AI,UK Prime Minister,"We are making the UK an AI superpower.    

But what does that actually mean for you?"
AI,Hiyoko,ふわふわのクッション使う？
AI,Keir Starmer,"I want Britain to be a leader in AI, not a follower.  

My government has a plan to make that happen."
AI,#AusOpen,"That's just outrageous 

The AI Shot of the Day presented to you by 
@NickKyrgios
 (is anyone really surprised )
@Infosys
 • #AusOpenWithInfosys • #tennis • 
@wwos
 • 
@espn
  • 
@eurosport
 • 
@wowowtennis"
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?
Hana,うなよん,"NoNoGirls - DROP B team 

 #花 #HANA #ノノガ #NoNoGirls  #CHIKA #NAOKO #KOKONA #FUMINO  #MOMOKA #DROP #ノノガファイナル"
Hana,ⵀⴰⵏⴰ Hana,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975"
Hana,ちゃんみな CHANMINA,"BMSG×CHANMINA
オーディションNO NO GIRLSから
私がプロデュースするグループの名前は『HANA』になりました

メンバーは
CHIKA, NAOKO, JISOO, YURI, MOMOKA KOHARU, MAHINA
の7人に決定しました！

ユニークな名前なのは承知の上で、アイデンティティや意味を何よりも大切にしました"
CREATEAI,CodeJoy,"Local PA Educators! #PAProud Are you going to 
@pghtech
 #TRETC? Our very own 
@AmandaJeaneEdu
 will be presenting #microbit CreateAI & sharing 
@CSTAPittsburgh
. If you’ll be there, catch AJ to pickup #CodeJoy button! #PGHed #EdTech #TRETC2025 #CSforAll #CSTA #KTI #KTIFamily"
CREATEAI,Joss Ort,Vegeta and goku please
CREATEAI,Joss Ort,Vegeta and goku please
aider,.,Rt ça peut aider
aider,SOLXGEM,"An investigation by $aider reveals that the github for this coin may have been stolen 
Ca:
3NSRQUy7UFJhNQhGw4fiAQCB9G3beX6PwyV9j7k4pump

Same github used for $aider, which was created 2 months ago 
OG CA: 
CBVVViJhBnfXY9dpstVVubAe57rmdfVyXfa9zngFnoBz"
aider,Valentin Forand,"C'est pas la question 
@faureolivier
Même si 
@LyesLouffok
 est un candidat engagé avec de fortes convictions, il sera obligé de bosser pour 
@FranceInsoumise
 et voter avec eux dans l'hémicycle.
Et LFI c'est aussi ça, et lui ... 

C'est pas comme ça qu'on va aider les plus pauvres"
aider,Jacques Guilbert,"Il faut toujours aider la #presse à être juste au niveau de la vérité surtout lorsqu’il s’agit d’un #raciste #antisémite #négationniste #tortionnaire #homophobe, qui plus est, condamné 25 fois !!"
