ticker,username,post_text,views
BEAN,chefderek.eth,Every $UFD bean counter soon:,12
BEAN,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",36
BEAN,tastytrade,"TOOLS, INSIGHTS, AND TECHNOLOGY BUILT FOR TODAY’S ACTIVE TRADER",1
BEAN,tommy,the cutest bean,1
CALEB,ERI ‧₊˚,i live for zayne caleb beef,44
CALEB,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",62
CALEB,AIZU,just caleb and his sad puppy dog eyes,21
CALEB,留白omakase,"Push Ups.
#恋与深空 #夏以昼 #LoveandDeepspace #Caleb",24
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,794
Hana,hana,“Alya bu kadar takmıyor sana noluyor mine.” İÇERLENMİŞ GEBERCEMWJWHAHAHAHAJAHAH #cihal #uzakşehir,4
Hana,ⵀⴰⵏⴰ Hana,"ⴰⵙⴳⴳⴰⵯⵙ ⴰⵎⴱⴰⵔⴽⵉ ⴰⵎⴰⵢⵏⵓ ⵉⵖⵓⴷⴰⵏ ⵉⵎⴰⵣⵉⵖⵏ ⵏ ⵍⵄⴰⵏⴰⵎ 

#HappyAmazighNewYear2975",5
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,794
Hana,hana,“Alya bu kadar takmıyor sana noluyor mine.” İÇERLENMİŞ GEBERCEMWJWHAHAHAHAJAHAH #cihal #uzakşehir,4
Hana,うなよん,"NoNoGirls - DROP B team 

 #花 #HANA #ノノガ #NoNoGirls  #CHIKA #NAOKO #KOKONA #FUMINO  #MOMOKA #DROP #ノノガファイナル",2
Weapon,Communis Pro,"When the Hex ""Secret Weapon"" is activated...

There will be signs...",2
Weapon,Weapon 𝕏,Good Morning to everyone who knows I shouldn’t be able to see your eyelashes from 78ft away,346
Weapon,MAGA’s “Weapon X” v2.0,I love this song!!,2
