ticker,username,post_text,views,likes
CALEB,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72,4200
CALEB,ERI ‧₊˚,i live for zayne caleb beef,48,32000
CALEB,Hira ෆ,#XAVIER & #CALEB : obsessed with her.,9,4200
CALEB,留白omakase,"Push Ups.
#恋与深空 #夏以昼 #LoveandDeepspace #Caleb",30,24000
BEAN,Isha,"The flowers showered upon devotees by the UP government symbolize the honor and respect for every individual who believes in Sanatan Dharma.

#महाकुम्भ_अमृत_स्नान",0,7
BEAN,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37,18000
BEAN,tastytrade,Investopedia says we're the best. See why they rate us 4.5 stars out of 5.,3,1600
BEAN,chefderek.eth,Every $UFD bean counter soon:,13,158
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,896,2700
Hana,hana,demir cihanla evlen iş birlikçim ol dedi kraliçe cihanla evlenip demiri paketliyor RAZIYIZ #cihal #uzakşehir,5,3400
Hana,Kawangware Finest ™ (Geoffrey Moturi),Nani hana kwao?- Peter Mbae,3,240
Hana,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,98
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,896,2700
Hana,hana,demir cihanla evlen iş birlikçim ol dedi kraliçe cihanla evlenip demiri paketliyor RAZIYIZ #cihal #uzakşehir,5,3400
Hana,˗ˏˋ みるち┊︎GOKKOマーケターˎˊ˗,"#NNG_NAOKO

実力の暴力見せつけられました
 
 #ノノガ  #花  #HANA #ノノガファイナル  #NoNoGirlsFinal  #NAOKO  #ナオコの女 #NoNoGirls",12,6600
Hana,hana,“Alya bu kadar takmıyor sana noluyor mine.” İÇERLENMİŞ GEBERCEMWJWHAHAHAHAJAHAH #cihal #uzakşehir,8,3200
Hana,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,98
Weapon,Daniel Wade,The Charger do have 1 weapon for sure.,21,253
Weapon,Weapon 𝕏,Good Morning to everyone who knows I shouldn’t be able to see your eyelashes from 78ft away,370,2100
Weapon,The Tank,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180,4200
