ticker,username,post_text,comments
CALEB,ERI ‧₊˚,i live for zayne caleb beef,48
CALEB,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72
CALEB,留白omakase,"Push Ups.
#恋与深空 #夏以昼 #LoveandDeepspace #Caleb",31
CALEB,𝓐.,#XAVIER x #CALEB — choose one.,1
BEAN,Isha,"Atishi community mein chaos kyun create kar rahi hai? 

#Atishi #CommunityStrife #Division #delhideservesbetter",0
BEAN,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37
BEAN,tastytrade,We’re in the business of supporting traders. Get the tools you need to make your way in the market.,11
BEAN,chefderek.eth,Every $UFD bean counter soon:,13
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905
Hana,hana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,11
Hana,SHANKI,Kairo ni kama hana ata stress,40
Hana,hana,demir cihanla evlen iş birlikçim ol dedi kraliçe cihanla evlenip demiri paketliyor RAZIYIZ #cihal #uzakşehir,5
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905
Hana,SHANKI,Kairo ni kama hana ata stress,40
Hana,hana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,11
Hana,hana,demir cihanla evlen iş birlikçim ol dedi kraliçe cihanla evlenip demiri paketliyor RAZIYIZ #cihal #uzakşehir,5
Weapon,Daniel Wade,The Charger do have 1 weapon for sure.,21
Weapon,The Tank,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180
Weapon,Hernán Jaramillo,No need for nukes or economic sanctions when you have the ultimate subjugation weapon the USD,1
Weapon,ADHDDude A-Grade SEND Education Rights Weapon,This is typical fare for neurodiversity advocates when it comes to #ADHD. Another bad take about #ADHD. It is insulting.,4
