ticker,username,handle,post_text,comments,likes,views
CALEB,Chesa,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72,4300,80000
CALEB,ERI ‧₊˚,ERI ‧₊˚,i live for zayne caleb beef,48,33000,313000
CALEB,𝓐.,𝓐.,#XAVIER x #CALEB — choose one.,1,2400,42000
CALEB,Hira ෆ,Hira ෆ,#XAVIER & #CALEB : obsessed with her.,9,4400,41000
BEAN,chefderek.eth,chefderek.eth,Every $UFD bean counter soon:,13,157,2300
BEAN,bean,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37,18000,189000
BEAN,tastytrade,tastytrade,"TOOLS, INSIGHTS, AND TECHNOLOGY BUILT FOR TODAY’S ACTIVE TRADER",0,1200,15000
BEAN,tommy,tommy,the cutest bean,2,544,13000
Hana,min hana⁷,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,64000
Hana,花七空さつき僕ラブ44蓮13,花七空さつき僕ラブ44蓮13,,0,22,57
Hana,hana,hana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,11,424,8300
Hana,حنان عيسى 𓂆,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,152,10000
Hana,min hana⁷,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,64000
Hana,花七空さつき僕ラブ44蓮13,花七空さつき僕ラブ44蓮13,,0,22,57
Hana,حنان عيسى 𓂆,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,152,10000
Weapon,Tactical Tribune,Tactical Tribune,"KAAN is Coming:
1st picture of 2nd prototype of KAAN stealth jet!

The 2nd prototype will have internal weapon bays and it'll be subjected to further testing.",0,6,32
Weapon,The Tank,The Tank,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180,4200,469000
Weapon,MAGA’s “Weapon X” v2.0,MAGA’s “Weapon X” v2.0,Six days. MAGA mode activated.,1,9,110
Weapon,Hernán Jaramillo,Hernán Jaramillo,No need for nukes or economic sanctions when you have the ultimate subjugation weapon the USD,1,10,525
