ticker,display_name,handle,post_text,timestamp,comments,likes,views
BEAN,chefderek.eth,chef_derek1,Every $UFD bean counter soon:,2025-01-13T21:28:20.000Z,13,157,2300
BEAN,History Trail,oldhistoryx,"Rowan Atkinson (Mr Bean) 
1979 – 2024",2025-01-14T14:40:14.000Z,0,2,18
CALEB,ERI ‧₊˚,qierinzel,i live for zayne caleb beef,2025-01-12T13:15:36.000Z,48,33000,313000
CALEB,Hira ෆ,hirxav,#XAVIER & #CALEB : obsessed with her.,2025-01-13T16:11:13.000Z,9,4500,43000
Weapon,Daniel Wade,dantalkssports,The Charger do have 1 weapon for sure.,2025-01-12T00:26:28.000Z,21,253,12000
Weapon,The Tank,TheTankGuns,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,2025-01-12T19:00:07.000Z,180,4200,469000
Hana,حنان عيسى 𓂆,hana_n_issa,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",2025-01-14T08:16:31.000Z,4,217,13000
Hana,min hana⁷,armys_hana7,Who caught your eye first in bts and who is your bias now?,2025-01-12T13:16:07.000Z,906,2700,64000
Hana,حنان عيسى 𓂆,hana_n_issa,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",2025-01-14T08:16:31.000Z,4,217,13000
Hana,ⵀⴰⵏⴰ Hana,HanaeEster,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",2025-01-12T10:20:37.000Z,24,517,9200
