ticker,display_name,handle,post_text,timestamp_x,comments,likes,views,market_cap,real_traders,total_holders,volume,insider_percentage,dev_status,top_10_holding,sniper_count,timestamp_y,address
TDWIF,Crypto Share,CryptoShare_024,"—- Trump Season is HERE —-  

 NEW COIN On Moonshot  
*** TRUMPDOGEWIFHAT ***   
Thicker: $TDWIF

 tg:
@trumpdogewifhat
ca: 359rzYrGXNZd5DJF4McS8LCLbb3W4yi2npRbXmHBmoon",2025-01-15T09:09:28.000Z,7,5,51,$53K,259,259,$53K,13%,28%,28%,3,23h,359rzYrGXNZd5DJF4McS8LCLbb3W4yi2npRbXmHBmoon
TDWIF,Deacon,CryptoDeacs,"PATIENCE IS THE KEY  

Trump season !!!

#TDWIF 

Ca: 359rzYrGXNZd5DJF4McS8LCLbb3W4yi2npRbXmHBmoon",2025-01-15T13:20:22.000Z,7,9,73,$53K,259,259,$53K,13%,28%,28%,3,23h,359rzYrGXNZd5DJF4McS8LCLbb3W4yi2npRbXmHBmoon
TDWIF,Cem,Cem_0x,"agreed, now listen

$TDWIF is gonna be the top dog of this meta! just look at the chart and try to disagree

Team sent previous project to 1.5 million mcap 
@trumpdogewifhat
 

359rzYrGXNZd5DJF4McS8LCLbb3W4yi2npRbXmHBmoon",2025-01-15T17:39:58.000Z,10,12,59,$53K,259,259,$53K,13%,28%,28%,3,23h,359rzYrGXNZd5DJF4McS8LCLbb3W4yi2npRbXmHBmoon
TDWIF,Deacon,CryptoDeacs,"Reaaaal sendor ! 
@trumpdogewifhat
 

#TDWIF",2025-01-15T21:15:59.000Z,0,0,14,$53K,259,259,$53K,13%,28%,28%,3,23h,359rzYrGXNZd5DJF4McS8LCLbb3W4yi2npRbXmHBmoon
TDWIF,Deacon,CryptoDeacs,#TDWIF,2025-01-15T21:34:09.000Z,0,2,17,$53K,259,259,$53K,13%,28%,28%,3,23h,359rzYrGXNZd5DJF4McS8LCLbb3W4yi2npRbXmHBmoon
UXUY AI,UXUY | Free Trading Gas！,uxuycom,"GM （ zǎo shàng hǎo ）  
Do u want to trade meme & AI？ 
Do u want to be rich？ 
Use #UXUY （your crypto Redbook）",2025-01-15T02:45:16.000Z,23,193,14000,$57K,70,70,$9K,,28%,28%,8,3h,5HUrTdAUa55QgNdrYJrZEdricsfofdHLcZ756sqGpump
UXUY AI,Stay Updated,StayUpdated_247,"UXUY Launches AI Agent to Revolutionize Social Trading as the World's Largest Telegram Wallet

https://market-news24.com/ai-agents/uxuy-launches-ai-agent-to-revolutionize-social-trading-as-the-worlds-largest-telegram-wallet/?fsp_sid=8835…

#AIAgents #BinanceLabs #blockchaintechnology #Cryptocurrency #SocialTrading #TelegramWallet #UXUY",2025-01-14T08:43:40.000Z,0,0,13,$57K,70,70,$9K,,28%,28%,8,3h,5HUrTdAUa55QgNdrYJrZEdricsfofdHLcZ756sqGpump
UXUY AI,CRYPTO BLACK SHEEP,zealot_capital,"UXUY is leveraging AI Agents to reshape the future of social trading

Join UXUY Wallet, get 100 UP for free

UXUY Wallet is a Web3 multi-chain decentralized wallet backed by Binance investments.",2025-01-15T05:11:10.000Z,0,0,21,$57K,70,70,$9K,,28%,28%,8,3h,5HUrTdAUa55QgNdrYJrZEdricsfofdHLcZ756sqGpump
UXUY AI,UXUY华语｜交易免Gas！,uxuyzh,"很高兴地宣布：UXUY 已经成为全球最大的 Telegram 钱包！

 感谢你们每个人的努力，钱包的月活用户数已经突破 7.8 M

 我们正在引入 AI Agent 赋能 Social Trading，打造下一代去中心化多链交易平台 

 了解更多：https://blog.uxuy.com/uxuy-becomes-the-worlds-largest-telegram-wallet-introducing-ai-agent-to-empower-social-trading-3c78728b30b8…",2025-01-14T09:02:51.000Z,6,23,3700,$57K,70,70,$9K,,28%,28%,8,3h,5HUrTdAUa55QgNdrYJrZEdricsfofdHLcZ756sqGpump
UXUY AI,RAAAZ,Himalyan2024,"UXUY Becomes the World’s Largest Telegram Wallet, Introducing AI Agent to Empower Social Trading",2025-01-15T10:47:36.000Z,0,0,2,$57K,70,70,$9K,,28%,28%,8,3h,5HUrTdAUa55QgNdrYJrZEdricsfofdHLcZ756sqGpump
DOGETELLA,Emi,emiayako087,"Trending now, don't miss out 
@dogetellafun
 #DOGETELLA

#OnBey
#ฟรีนเบคxปริศนาซากมรณะ
#ريال_مدريد_برشلونه #สกายนานิ",2025-01-13T14:13:50.000Z,0,0,460,$63K,355,355,$54K,71%,34%,34%,2,22h,3EwtQcCfn2HocJxf36KPu1rDHjmwXtnZkm2KyrkGmoon
DOGETELLA,JoyBoy Luffy,JoyBoyLuffyed,"(SOL) Dogetella

New launch bonded off pump fun. In dip here at 70k area. DOGE x NUTELLA. Following meta. Be safe with entries. Degen. Dyor

https://dogetella.fun
https://t.me/dogetella

https://dextools.io/app/en/token/dogetellafunsol?t=1736775865789…",2025-01-13T14:27:02.000Z,0,0,24,$63K,355,355,$54K,71%,34%,34%,2,22h,3EwtQcCfn2HocJxf36KPu1rDHjmwXtnZkm2KyrkGmoon
DOGETELLA,mingpp,Sanggupp,This is going to be success. Please stay tuned.#DOGETELLA,2025-01-13T14:22:32.000Z,0,0,67,$63K,355,355,$54K,71%,34%,34%,2,22h,3EwtQcCfn2HocJxf36KPu1rDHjmwXtnZkm2KyrkGmoon
DOGETELLA,Chris Lea,chrisleao,#DOGETELLA looks like a good one,2025-01-13T18:54:53.000Z,0,0,35,$63K,355,355,$54K,71%,34%,34%,2,22h,3EwtQcCfn2HocJxf36KPu1rDHjmwXtnZkm2KyrkGmoon
DOGETELLA,Spaceman,spacemancallz,"Dogetella

https://t.me/dogetella

https://dexscreener.com/solana/7sv197rxbvogsk8wdeha4oxbicczzyafvywdwn27pump…

7sV197rXBvoGsK8WDEhA4oxbiccZzYafvYWdwN27pump",2025-01-13T13:49:34.000Z,6,13,208,$63K,355,355,$54K,71%,34%,34%,2,22h,3EwtQcCfn2HocJxf36KPu1rDHjmwXtnZkm2KyrkGmoon
