ticker,author,text,replies,reposts,likes,views
BRAIN,Science,Neuronal firing in the brain. Feels like the universe,283,2900,10000,441000
BRAIN,GamesCage - Hype Guy,"THIS IS NO LONGER A SAFE SPACE FOR SPOILERS.

SONIC MOVIE 3 ALTERED MY BRAIN CHEMISTRY FOREVER",296,2500,36000,1200000
BRAIN,Chihiro☆✯★,Does your brain ever go 𝑖𝑑𝑜𝑛𝑡𝑛𝑒𝑒𝑑𝑡𝑜𝑏𝑟𝑒𝑎𝑡ℎ𝑒𝑤ℎ𝑒𝑛𝑦𝑜𝑢𝑙𝑜𝑜𝑘𝑎𝑡𝑚𝑒𝑎𝑙𝑙𝑖𝑠𝑒𝑒𝑖𝑠𝑔𝑟𝑒𝑒𝑛𝑎𝑛𝑑𝑖𝑡ℎ𝑖𝑛𝑘𝑡ℎ𝑎𝑡𝑤𝑒𝑟𝑒𝑖𝑛𝑏𝑒𝑡𝑤𝑒𝑒𝑛𝑒𝑣𝑒𝑟𝑦𝑡ℎ𝑖𝑛𝑔𝑖𝑣𝑒𝑠𝑒𝑒𝑛𝑖𝑛𝑚𝑦𝑑𝑟𝑒𝑎𝑚,25,1100,4700,49000
BRAIN,𝓓𝖗. 𝓥𝖔𝕏 𝓞𝖈𝖚𝖑𝖎 ᴹᴰ,"Back when people had brains…

Bill Nye: “There Are Two Genders”

Share to remind people who have forgotten basic biology",8,21,87,13000
BRAIN,Punch Cat,they’re taking his brain cells :(,369,10000,104000,2800000
BRAIN,Nature is Amazing,Not a single brain cell between them.,281,1500,11000,733000
BRAIN,treacherous swiftie #1 loml defender,this just altered my brain chemistry wait...,195,3200,25000,4400000
BRAIN,The Goddess,"No brain, no pain.",1100,5300,38000,9200000
BRAIN,Brain Cristante,This is what I live for,3,148,1100,21000
BRAIN,a ☁︎,"this tweet has me crying. how people find this funny? is a poor baby suffering. 

and bothers me that the replies are ppl making brain rot jokes about the waist? why is this generation so insensitive and immature",284,1700,13000,181000
BRAIN,NO CONTEXT HUMANS,bro used 100% of his brain,22,11,71,12000
BRAIN,xia - religious icon ♡,this photo just changed something in my brain chemistry,373,2500,66000,1800000
BRAIN,TENIOLA,Brain Jotter can’t be real ,374,1800,7800,243000
BRAIN,Ryan McCoy,"Where do they get all that gold?…. Asteroid mining!

The gold rush renaissance is when certain moguls become trillionaires and build their own civilization on the moons of Jupiter.",20,61,310,8100
BRAIN,Blue,Playing on a loop in my brain,0,0,0,3
BRAIN,Eliana Mia,"Because Jenifer Has Brain Cancer give her only 1 Like, Amen & Share",1400,1100,18000,227000
BRAIN,Cosmic Madness,My brain stopped for a while ,499,2000,56000,27000000
BRAIN,BIIG,"People using 100% of their brain 

A thread",298,1100,13000,1900000
BRAIN,Kgoshi Ya Lebowa,He is applying for brain death this one ,404,893,14000,25000000
BRAIN,alora,trauma LITERALLY changes how our brains function yet people are really out here saying “just let go of your past” OK LMAO,487,40000,204000,4300000
BRAIN,brynn ❤︎,omg brain ! noooooo !!!,17,1600,29000,181000
BRAIN,"Sassington, M.C.","my brain will never be able to process how this translates into sound, no matter how many times I read how it's done. it's fascinating as hell.",465,6600,63000,7500000
BRAIN,non aesthetic things,A father saved his sons life and went to jail after he held doctors at gunpoint forcing them to continue operating on his son after he was declared brain dead,1100,4300,56000,5200000
BRAIN,Easlo,Here are the apps I use to build my second brain.,259,6000,31000,11000000
BRAIN,𝑪𝒂𝒕𝒂𝒍𝒆𝒚𝒂,"""Sadhguru uses his brain to convince you NOT to use your own brain, so that he then can control your thoughts"" - Javed Akhtar",358,3500,14000,761000
BRAIN,I.N brain rot,Skz getting a main vocalist oh we cheered,37,329,2200,49000
BRAIN,motete,inhun worms in the brain... wait let me cook #001x456,6,534,4600,28000
BRAIN,Interesting things,My brain ain't braining,293,1000,18000,11000000
BRAIN,internet hall of fame,When we say bird brain this is what we mean,898,10000,148000,19000000
BRAIN,S◎L Big Brain,Solana ATH,408,287,2800,162000
BRAIN,Twobold,"Ladies and Gentlemen I present to you my brain child of Marvel Rivals goofiness. 

25 seconds of straight cc while being disrespected to the highest possible degree: The Iron Violation",93,2400,29000,1100000
BRAIN,Sania Obaid,"Because Brianna Has Brain Tumor Nobody Cared to Pray for Her Can She Even Get Your 1 Like, Amen and Share",1200,537,8500,112000
BRAIN,DIVINE T,"A good deek can reset the brain, lady shared

1/11 erot!c Thread",439,809,7600,1800000
BRAIN,The Figen,"This is called using the brain!  

Work smart!",252,1400,10000,871000
BRAIN,Your Skin Friend | Skin Care,Eggs are the best for brain function,38,1300,6800,656000
BRAIN,Darshan,"This guy scanned monks' brains.

He expected normal results.

But what he found had never been seen in scientific history.

The discovery landed him on Time's 100 Most Influential People.

Here's what 30,000+ hours of meditation does to your brain:",224,2500,10000,1900000
BRAIN,OnlyBangers,IPad takes over the brain,974,4100,34000,5000000
BRAIN,John Francis,"Cognitive Doctor discusses Trump’s Brain Damage 

It's not a joke, it's not sarcasm. 

""This is a neurological smoking gun.""

 #TrumpIsUnfitForOffice, he has Dementia and it’s getting worse by the day. 

https://x.com/a_k_a_stardust/status/1764106083298169037/video/1…",266,3000,6100,257000
BRAIN,Brian Maierhofer,"Parasympathetic Activation is the best way to rewire your brain from shame, heal stored trauma, and restore your nervous system to optimal health.

Here’s what it is and how to do it:",256,3500,16000,2900000
BRAIN,2000s,"8 years ago today, rihanna released ‘love on the brain’",165,6100,32000,642000
BRAIN,Ivor Cummins,"Important repost: 
 ""Listen carefully, very carefully. This is the most important climate change clip you will ever watch - and only 4mins long.
Watch and judge yourself.
ABSORB the graph shown. THINK on it. USE your brain.""",529,10000,17000,1000000
BRAIN,Samira,"""Angelica is battling a brain tumor.  Yet, no one has given her even 1 like, 'Amen,' or share... """,1900,935,17000,277000
BRAIN,TENIOLA,Brain Jotter go Korea  See the new cars they are bringing to Nigeria,1200,6500,37000,1500000
BRAIN,veronica⸆⸉ | fan acc.,"this video of taylor singing fast car at the grammys has its own spot in my brain, so stunning, so amazing",13,995,11000,208000
BRAIN,smol silly cat,2 brain cells fighting for 3rd place,36,1300,9800,214000
BRAIN,Punch Cat,this cat named poong has a brain problem which makes it hard for her to eat food by herself so her owners have to feed her by hand ,421,4800,68000,1700000
BRAIN,Amaka,They messed with his brain ,22,28,76,20000
BRAIN,𝔼𝕥𝕙𝕖𝕣-𝕎𝕒𝕧𝕖,Nick Fuentes broke Utsav Sanduja's brain.,162,267,3300,101000
BRAIN,vittorio,"holy shit

a team at EPFL in switzerland just published a paper where they restored walking in people with spinal cord injuries using deep brain stimulation (DBS).

this isn’t just nerves reconnecting. they targeted a new brain region for movement
the results are insane
1/",229,2400,13000,890000
BRAIN,The Figen,This is a great game for brain training.,464,7000,88000,8800000
BRAIN,nia ꩜,"let the fact sink in that yall have failed poc woman, lgbtq+ and everyone else that are effected by trumps presidency all because yall couldn’t use yall brains and vote correctly. Project 2025 is gonna officially happen now",1200,5500,42000,1100000
BRAIN,Wild Clips,Bro used 110% of his brain ,64,120,3200,471000
BRAIN,NO CONTEXT HUMANS,no pain no brain,231,1000,11000,1500000
BRAIN,Eliana Mia,16 year old Jocelynn is fighting Brain Cancer. Hit like' to wish her good luck quys,778,643,17000,273000
BRAIN,Bryan Johnson /dd,"I didn't realize how terrible my posture was until an MRI showed it was slowly killing my brain.

A ticking time bomb of a problem that I've now dramatically improved with these five habits. ",541,3300,31000,7600000
BRAIN,BrainXpansion,"Bioluminescence is when living organisms produce light through a chemical reaction involving luciferin and luciferase.

The light emitted is usually blue or green, and looks like pure magic. 

[ Josh Gravley]",37,5,54,859
BRAIN,internet hall of fame,Oh i know that brain freeze is INSANE,570,2100,33000,4300000
BRAIN,Russia is not Enemy," “I don’t want to offend anyone, God forbid, but when I ask my colleagues and experts “What is modern Europe lacking?” the answer is that they are lacking brains” - President Putin.

Do you agree?",642,1800,7800,166000
BRAIN,NO CONTEXT HUMANS,"He’s just using his brain, not muscles ",428,3000,65000,9600000
BRAIN,TENIOLA,Brain Jotter is underrated ,278,3000,18000,647000
BRAIN,NO CONTEXT HUMANS,He’s using 200% of his brain,346,2900,46000,5800000
BRAIN,Shelley Luther,"This was me recovering from a brain aneurysm and several strokes in April 2023, and I just won a seat in the Texas House! #CourageToStand #GodIsGood #txlege",1600,4800,55000,1500000
BRAIN,Stuzi,"Elon Musk is an apologist for white child rapists…

That’s a fact… 

When he finally gets sectioned off and everyone finds out his real back history there’ll be a mass deletion of tweets backing the dirty little ket addled brain donor 

Moobed up Nazi cunt",179,359,1100,54000
BRAIN,✩,he’s literally going to hell for the damage this video has done to my brain,661,18000,147000,4500000
BRAIN,ザビ,"BRAIN×BRAVE!!!!!
#アイシールド21  #アイシールド21周年記念ブック",32,2200,11000,485000
BRAIN,@SH_4RK,"listen i know this is old news but i physically cannot force myself to see black and blue
i KNOW its black and blue, i've seen the pictures, but my brain wont let me see anything other than this",3900,18000,239000,22000000
BRAIN,COMBATE |,Watch Matt Walsh's baby brain collapse when he's confronted with the basic history of Haiti,1000,7200,40000,2400000
BRAIN,Massimo,"In the 1980s, a man with severe OCD shot himself in the head in an attempt to commit suicide. 

Instead of killing him, the bullet destroyed the part of his brain responsible for his OCD, and he went on to become a straight-A college student five years later.",322,939,9000,447000
BRAIN,Insane Clips,Bro used 108% of his brain,39,204,6000,930000
BRAIN,Manly Mentor,This Simple Trick Will Reset Your Brain for Success.. ,45,3700,16000,435000
BRAIN,TPV Sean," Yale Study Confirms One Billion Vaxxed Now Have 'Full Blown VAIDS'

Have you noticed something unusual about the vaccinated? The greyish pallor in the face, the persistent brain fog, the mood swings, the relentless exhaustion, and their struggle to fight off even the mildest",386,7900,12000,1200000
BRAIN,Coach Jacob,"How to fix your dopamine-fried brain permanently.

It all starts with these 7 simple lifestyle switches:

1) Stop Drinking Alcohol.",269,1600,10000,4200000
BRAIN,non aesthetic things,"There's probably an easy explanation for this, but my brain can't",295,525,5300,1900000
BRAIN,Doktor Klein,"Today is the birthday of Kyrylo Budanov. A hero of the 21st century.
Alone has more brains and courage than the entire kremlin army put together.
Budanov gained a reputation for participating in bold operations behind enemy lines.
Happy birthday general, and many more to come!!",63,546,3600,66000
BIHT,imi,BIHT H ASS DINNO IM BIPOLAR BEAR,0,0,0,113
BIHT,BihT,"Otra vez tocara ilusionarse,pero siento que perderemos pero bueno",0,0,0,16
BIHT,elif,birinci hatada altını ikincide üstünü çizin arkadash,0,0,23,149
BIHT,RFI 華語 - 法國國際廣播電台,毛里求斯央行前行長投案獲釋 https://rfi.my/BIHT.x,0,1,0,518
BIHT,@moneylisaa_,Biht zyada,0,0,0,4
BIHT,ABHAY SINGH YADAV,"मैं बिहार में हूँ भगवान यहाँ के सभी पुल सलामत रखे 
@RJD_BiharState
 @News18Bihar
 @biht",0,0,0,16
BIHT,Noshin Advocate,biht achi,1,0,1,7
BIHT,Vaishnavi,Biht acha likha hai,0,0,2,8
BIHT,STΩΠΣΨ...,I really dislike this one biht.,0,0,0,53
BIHT,Nadia BiHT,"Dios, dame paciencia porqué si me das fuerza le voy a pegar. ",0,0,0,14
BIHT,Biht Coign,"If Bitcoin goes over $3532, next target will be $3533.",211,416,4300,0
BIHT,@moneylisaa_,Biht kuch,0,0,0,19
BIHT,Noshin Advocate,biht avhi,0,0,0,3
BIHT,elif,ben bana iyi gelmiyorum baska rengi var mı,0,1,40,481
BIHT,Bruce Trejo,Why do I feel this way?,0,0,1,20
BIHT,جہانگیر رشید,"akha karan mehnat athoo, Temis paran vatey shaam. 
baykh zenan biht katho, ye chu Rubs paans Taam!",0,0,0,8
BIHT,Dr.Shahgufta,Wah kiya baat hai biht khub,0,0,0,12
BIHT,Biht Coign,Is $100k $BTC going to act like $10k or $20k?,0,0,1,142
BIHT,nykitaa,IM BIHT TO LOSE MY VOICE,0,0,0,16
BIHT,Bihter Bihter,Ben Ferdi tayfun şarkılarıyla büyüdüm ama akp yi sevmiyorum siyasal islamı sevmiyorum sadece Allah’a ve peygamberime inanıyorum kudur,1,0,0,656
BIHT,Bihter Bihter,Elbise giyince sorun yok başörtü takınca göz altı ilkenin heryerinden irin akıyor,0,0,1,63
